"","Palabra","Puntuacion","Word"
"113","agresor",-1,"attacking"
"114","aguante",2,"stamina"
"115","ahogar",-2,"drown"
"116","ahogo",-2,"choke"
"117","ahogue",-2,"drowned"
"118","airado",-3,"irate"
"119","aislado",-1,"isolated"
"120","ajuste",1,"fit"
"121","alabado",3,"praised"
"122","alabando",3,"praising"
"123","alabanza",3,"praise"
"124","alabanzas",3,"praises"
"125","alarma",-2,"alarm"
"126","alarmado",-2,"alarmed"
"127","alarmista",-2,"alarmist"
"128","alarmistas",-2,"alarmists"
"129","alboroto",-2,"riot"
"130","alcances",1,"reaches"
"131","alcanzado",1,"reached"
"132","alcanzar",1,"reach"
"133","aleccionadora",1,"sobering"
"134","alegrarse",4,"rejoice"
"135","alegre",2,"blithe"
"136","alegre",2,"cheerful"
"137","alegre",3,"cheery"
"138","alegre",2,"convivial"
"139","alegre",3,"glad"
"140","alegre",2,"jaunty"
"141","alegre",2,"jolly"
"142","alegre",3,"joyful"
"143","alegre",1,"lighthearted"
"144","alegre",3,"merry"
"145","alegre",3,"mirthful"
"146","alegremente",3,"joyfully"
"147","alegria",3,"glee"
"148","alegria",3,"joy"
"149","alegria",3,"mirth"
"150","alegria",4,"rejoicing"
"151","alentado",2,"encouraged"
"152","alentar",2,"encourage"
"153","alergico",-2,"allergic"
"154","alerta",-1,"alert"
"155","alfombrilla de raton",-1,"lurking"
"156","algun tipo",0,"some kind"
"157","alicaido",-2,"downcast"
"158","alienacion",-2,"alienation"
"159","alienta",2,"encourages"
"160","aliviado",2,"relieved"
"161","aliviado",3,"soothed"
"162","aliviar",1,"relieve"
"163","amable",3,"lovable"
"164","amado",3,"beloved"
"165","amado",3,"loved"
"166","amargado",-2,"embittered"
"167","amargamente",-2,"bitterly"
"168","amargo",-2,"bitter"
"169","ambicioso",2,"ambitious"
"170","ambivalente",-1,"ambivalent"
"171","amenaza",-2,"menace"
"172","amenaza",-2,"threat"
"173","amenaza",-2,"threatens"
"174","amenazado",-2,"menaced"
"175","amenazados",-2,"threatened"
"176","amenazante",-2,"threatening"
"177","amenazar",-2,"threaten"
"178","amenazas",-2,"threats"
"179","amistoso",2,"friendly"
"180","amonestado",-2,"admonished"
"181","amonestar",-2,"admonish"
"182","amontonar",-1,"pileup"
"183","amor",3,"love"
"184","amordazado",-2,"gagged"
"185","amoroso",2,"loving"
"186","ampliar",1,"extend"
"187","analfabetismo",-2,"illiteracy"
"188","Angers",-3,"angers"
"189","angustia",-3,"anguish"
"190","angustia",-2,"distress"
"191","angustiado",-3,"anguished"
"192","angustias",-2,"distresses"
"193","angustioso",-2,"distressing"
"194","angustioso",-3,"heartbreaking"
"195","ansia",-1,"longing"
"196","anhelo",1,"yearning"
"197","animado",2,"cheered"
"198","animado",2,"lively"
"199","animado",2,"sprightly"
"200","animar",2,"cheer"
"201","animo",2,"encouragement"
"202","animosidad",-2,"animosity"
"203","ansiedad",-2,"anxiety"
"204","ansioso",-2,"anxious"
"205","ansioso",2,"eager"
"206","antagonista",-2,"antagonistic"
"207","anti",-1,"anti"
"208","anticipacion",1,"anticipation"
"209","apaciguado",2,"appeased"
"210","apaciguamiento",2,"appeasing"
"211","apaciguar",2,"appease"
"212","aparejado",-1,"rigged"
"213","aparejo",-1,"rig"
"214","apasionado",2,"passionate"
"215","apatia",-3,"apathy"
"216","apatico",-3,"apathetic"
"217","apenado",-2,"grieved"
"218","apeshit",-3,"apeshit"
"219","aplaca",2,"appeases"
"220","aplasta",-1,"crushes"
"221","aplastada",-2,"crushed"
"222","aplastante",-1,"crushing"
"223","aplastar",-1,"crush"
"224","aplaude",2,"applauds"
"225","aplaudida",2,"applauded"
"226","aplaudiendo",2,"applauding"
"227","aplaudir",2,"applaud"
"228","aplausos",2,"applause"
"229","aplausos",2,"cheering"
"230","aplazar",-1,"defer"
"231","apocaliptico",-2,"apocalyptic"
"232","apoyo",2,"backing"
"233","apoyo",2,"support"
"234","apoyo",2,"supportive"
"235","aprecia",2,"appreciates"
"236","apreciacion",2,"appreciation"
"237","apreciado",2,"appreciated"
"238","apreciado",-2,"unappreciated"
"239","apreciando",2,"appreciating"
"240","apreciando",2,"cherishing"
"241","apreciar",2,"appreciate"
"242","apreciar",2,"cherish"
"243","aprensivo",-2,"apprehensive"
"244","aprobacion",2,"approval"
"245","aprobacion",2,"endorsement"
"246","aprobado",2,"approved"
"247","aprueba",2,"approves"
"248","aptitud",1,"fitness"
"249","ardiente",1,"ardent"
"250","arrastra",-1,"drags"
"251","arrastrado",-1,"dragged"
"252","arrastrar",-1,"drag"
"253","arreglado",-1,"made-up"
"254","arrepentido",-2,"regretful"
"255","arrepentimientos",-2,"regrets"
"256","arrestar",-2,"arrest"
"257","arrinconado",-2,"cornered"
"258","arrogante",-2,"arrogant"
"259","arruinado",-3,"bankrupt"
"260","arruinado",-2,"ruined"
"261","arruinando",-2,"ruining"
"262","asco",-3,"disgust"
"263","asegura",2,"secures"
"264","asegurado",2,"secured"
"265","asegurando",1,"ensuring"
"266","asegurar",1,"ensure"
"267","asesinato",-3,"assassination"
"268","asesinato",-3,"killing"
"269","asesinato",-2,"murder"
"270","asesinato",-3,"murdering"
"271","asesinatos",-3,"assassinations"
"272","asesinatos",-2,"murders"
"273","asesino",-2,"murderer"
"274","asesino",-3,"murderous"
"275","asfixia",-2,"choking"
"276","asombra",3,"astounds"
"277","asombrado",2,"amazed"
"278","asombrado",2,"astonished"
"279","asombrado",3,"astounded"
"280","asombrar",3,"astound"
"281","asombro",2,"amaze"
"282","asombroso",4,"amazing"
"283","asombroso",3,"astounding"
"284","asombroso",5,"breathtaking"
"285","asqueroso",-3,"disgusting"
"286","asqueroso",-3,"nasty"
"287","asqueroso",-2,"yucky"
"288","assfucking",-4,"assfucking"
"289","astucia",-2,"trickery"
"290","astuto",-2,"dodgy"
"291","asuntos",1,"matters"
"292","asustadizo",-1,"jumpy"
"293","asustado",-2,"afraid"
"294","asustado",-2,"frightened"
"295","asustado",-2,"scared"
"296","atacado",-1,"attacked"
"297","ataque",-1,"attack"
"298","ataques",-1,"attacks"
"299","atascado",-2,"stuck"
"300","aterrado",-2,"appalled"
"301","aterrador",-3,"frightening"
"302","aterroriza",-3,"terrorizes"
"303","aterrorizado",-3,"terrified"
"304","aterrorizado",-3,"terrorized"
"305","aterrorizar",-3,"terrorize"
"306","atornillado",-2,"screwed"
"307","atraccion",2,"attraction"
"308","atracciones",2,"attractions"
"309","atractivo",3,"glamorous"
"310","atractivo",1,"inviting"
"311","atrae",1,"attracts"
"312","atraer",1,"attract"
"313","atraido",1,"attracted"
"314","atrapado",-2,"trapped"
"315","atrayendo",2,"attracting"
"316","atrevido",2,"daring"
"317","atropello",-3,"outrage"
"318","aturdido",-2,"stunned"
"319","audaz",3,"audacious"
"320","audaz",2,"fearless"
"321","aumenta",1,"boosts"
"322","aumentado",1,"increased"
"323","aumentar",1,"boost"
"324","ausencia",-2,"lack"
"325","ausente",-1,"absentee"
"326","ausentes",-1,"absentees"
"327","autoenganada",-2,"self-deluded"
"328","autor",-2,"perpetrator"
"329","autores",-2,"perpetrators"
"330","autoridad",1,"authority"
"331","avanzado",1,"advanced"
"332","aventuras",2,"adventure"
"333","aventuras",2,"adventures"
"334","aventurero",2,"adventurous"
"335","avergonzado",-2,"ashamed"
"336","avergonzar",-2,"embarrass"
"337","aversion",-3,"loathing"
"338","avido",2,"avid"
"339","axed",-1,"axed"
"340","Ay",-1,"alas"
"341","ayuda",2,"help"
"342","ayuda",2,"helps"
"343","Bamboozles",-2,"bamboozles"
"344","bancadas",-2,"thwarts"
"345","bankster",-3,"bankster"
"346","barra oblicua",-2,"slash"
"347","barras",-2,"slashes"
"348","barrera",-2,"barrier"
"349","Bastardo",-5,"bastard"
"350","bastardos",-5,"bastards"
"351","batalla",-1,"battle"
"352","batallas",-1,"battles"
"353","beatifico",3,"beatific"
"354","bellezas",3,"beauties"
"355","bendecir",2,"bless"
"356","bendice",2,"blesses"
"357","bendicion",3,"blessing"
"358","bendicion",4,"godsend"
"359","beneficiado",2,"benefitted"
"360","beneficiando",2,"benefitting"
"361","beneficio",2,"benefit"
"362","beneficios",2,"benefits"
"363","bereaves",-2,"bereaves"
"364","bereaving",-2,"bereaving"
"365","Beso",2,"kiss"
"366","bienes",2,"assets"
"367","bienvenida",2,"welcomed"
"368","Bienvenido",2,"welcome"
"369","bloquear",-1,"block"
"370","bloqueo",-1,"blocking"
"371","bloques",-1,"blocks"
"372","boicoteado",-2,"boycotted"
"373","boicoteando",-2,"boycotting"
"374","boicotear",-2,"boycott"
"375","boicots",-2,"boycotts"
"376","bomba",-1,"bomb"
"377","bondad",3,"goodness"
"378","bonita",1,"pretty"
"379","bonito",3,"nice"
"380","borra",1,"clears"
"381","borracho",-2,"drunk"
"382","borroso",-2,"blurry"
"383","boyante",2,"buoyant"
"384","brillante",1,"bright"
"385","brillante",4,"brilliant"
"386","brillar",3,"sparkle"
"387","brillo",1,"brightness"
"388","broma",2,"joke"
"389","bruto",-2,"gross"
"390","bueno",3,"good"
"391","buque insignia",2,"flagship"
"392","bureado",-2,"tricked"
"393","burla",-2,"derision"
"394","burla",-2,"mocks"
"395","burlado",-2,"mocked"
"396","burlarse de",-2,"mock"
"397","burlon",-2,"mocking"
"398","burro",-4,"jackass"
"399","cabezas de turco",-2,"scapegoats"
"400","cabildeo",-2,"lobbying"
"401","cabizbajo",-2,"crestfallen"
"402","Cabron",-4,"fucker"
"403","Cabron",-3,"dumbass"
"404","cadaver",-1,"corpse"
"405","cagado",-3,"screwed up"
"406","caido",-2,"droopy"
"407","caido",-2,"fallen"
"408","caido en desgracia",-2,"disgraced"
"409","calambre",-1,"cramp"
"410","calentar",1,"warm"
"411","calma",2,"calm"
"412","calma",2,"calms"
"413","calmado",2,"calmed"
"414","calmante",2,"calming"
"415","calmante",3,"soothing"
"416","calmar",3,"soothe"
"417","calor",2,"warmth"
"418","cancela",-1,"cancels"
"419","cancelado",-1,"cancelled"
"420","cancelado",-1,"cancelling"
"421","cancelar",-1,"cancel"
"422","cancer",-1,"cancer"
"423","candidez",-2,"gullibility"
"424","cansado",-2,"tired"
"425","cansado",-2,"weary"
"426","caos",-2,"chaos"
"427","caotico",-2,"chaotic"
"428","capacidad",2,"ability"
"429","capaz",1,"capable"
"430","caprichoso",1,"whimsical"
"431","carcajadas",-2,"screams"
"432","carga",-2,"burden"
"433","cargado",-3,"charged"
"434","cargas",-2,"burdens"
"435","cargos",-2,"charges"
"436","carino",2,"fondness"
"437","carinoso",3,"affectionate"
"438","caro",3,"dearly"
"439","Caso omiso",-2,"disregarding"
"440","castiga",-3,"chastises"
"441","castiga",-2,"punishes"
"442","castigado",-3,"chastised"
"443","castigado",-2,"punished"
"444","castigadora",-3,"chastising"
"445","castigar",-3,"chastise"
"446","castigar",-2,"punish"
"447","catastrofe",-3,"catastrophe"
"448","catastrofico",-4,"catastrophic"
"449","cauteloso",-1,"cautious"
"450","cautivado",3,"captivated"
"451","cautivar",3,"enthral"
"452","celebra",3,"celebrates"
"453","celebrado",3,"celebrated"
"454","celebrando",3,"celebrating"
"455","celebrar",3,"celebrate"
"456","celestial",4,"heavenly"
"457","celos",-1,"envying"
"458","celoso",-2,"jealous"
"459","celoso",2,"zealous"
"460","censores",-2,"censors"
"461","censurado",-2,"censored"
"462","censurar",-2,"censor"
"463","cenudo",-1,"frowning"
"464","cernia",-1,"loomed"
"465","cerveza negra",2,"stout"
"466","chagrined",-2,"chagrined"
"467","chiflado por",2,"infatuated"
"468","chispa",1,"spark"
"469","chistes",2,"jokes"
"470","chistoso",2,"humourous"
"471","chivo expiatorio",-2,"scapegoat"
"472","chocante",-2,"shocking"
"473","chocar",-1,"collide"
"474","choque",-2,"clash"
"475","choque",-2,"crash"
"476","choque",-2,"shock"
"477","choques",-2,"shocks"
"478","chupa",-3,"sucks"
"479","chupar",-3,"suck"
"480","ciego",-1,"blind"
"481","cielo",2,"heaven"
"482","cierto",1,"certain"
"483","cierto",2,"true"
"484","cinico",-2,"cynic"
"485","cinico",-2,"cynical"
"486","cinismo",-2,"cynicism"
"487","claramente",1,"clearly"
"488","claridad",2,"clarity"
"489","claro",1,"clear"
"490","coaccionado",-2,"coerced"
"491","cobarde",-2,"coward"
"492","cobardemente",-2,"cowardly"
"493","cobrar",-2,"cashing in"
"494","Cocksuckers",-5,"cocksuckers"
"495","codicia",-3,"greed"
"496","codicioso",-2,"greedy"
"497","cojo",-2,"lame"
"498","colapsado",-2,"collapsed"
"499","colapso",-2,"collapse"
"500","colapso",-2,"collapsing"
"501","colapsos",-2,"collapses"
"502","colerico",-3,"wrathful"
"503","colision",-2,"collision"
"504","colisiona",-1,"collides"
"505","colisionando",-1,"colliding"
"506","colisiones",-2,"collisions"
"507","colusion",-3,"colluding"
"508","combate",-1,"combat"
"509","combates",-1,"combats"
"510","comedia",1,"comedy"
"511","cometer",1,"commit"
"512","comodidad",2,"comfort"
"513","comodidad",2,"coziness"
"514","comodidades",2,"comforts"
"515","comodo",2,"comfortable"
"516","compadecimos",-1,"pitied"
"517","Comparte",1,"shares"
"518","compartido",1,"shared"
"519","compartir",1,"share"
"520","compasivo",2,"compassionate"
"521","competente",2,"competent"
"522","competitivo",2,"competitive"
"523","complacencia",2,"willingness"
"524","comprometido",1,"committed"
"525","comprometiendose",1,"committing"
"526","compromiso",2,"commitment"
"527","con toda tranquilidad",2,"peacefully"
"528","conceder",1,"grant"
"529","concedido",1,"granted"
"530","concesion",1,"granting"
"531","concilia",2,"conciliates"
"532","conciliado",2,"conciliated"
"533","conciliando",2,"conciliating"
"534","conciliar",2,"conciliate"
"535","condena",-2,"condemns"
"536","condenacion",-2,"condemnation"
"537","condenado",-2,"condemned"
"538","condenado",-2,"doomed"
"539","condenado",-2,"sentenced"
"540","condenar",-2,"condemn"
"541","condenar",-2,"doom"
"542","confiado",2,"entrusted"
"543","confiado",2,"reliant"
"544","confianza",2,"confidence"
"545","confianza",1,"trust"
"546","confidente",2,"confident"
"547","conflictiva",-2,"conflictive"
"548","conflicto",-2,"conflict"
"549","conflictos",-2,"conflicts"
"550","confundir",-2,"confuse"
"551","confundir",-2,"mistaking"
"552","confuso",-2,"confused"
"553","confuso",-2,"confusing"
"554","conmocionado",-2,"shocked"
"555","consentimiento",2,"consent"
"556","consentimientos",2,"consents"
"557","consolable",2,"consolable"
"558","consolador",2,"comforting"
"559","conspiracion",-3,"conspiracy"
"560","consternados",-2,"dismayed"
"561","constrenido",-2,"constrained"
"562","consumado",2,"accomplished"
"563","contagio",-2,"contagion"
"564","contagios",-2,"contagions"
"565","contagioso",-1,"contagious"
"566","contamina",-2,"polluter"
"567","contamina",-2,"pollutes"
"568","contaminado",-2,"polluted"
"569","contaminadores",-2,"polluters"
"570","contaminar",-2,"pollute"
"571","contencioso",-2,"contentious"
"572","contender",-1,"contend"
"573","contendiendo",-1,"contending"
"574","contendiente",-1,"contender"
"575","contento",3,"happy"
"576","contestable",-2,"contestable"
"577","contradictorio",-2,"conflicting"
"578","contratar",1,"engage"
"579","convence",1,"convinces"
"580","convencer",1,"convince"
"581","convencido",1,"convinced"
"582","convencido",-1,"unconvinced"
"583","convenido",1,"agreed"
"584","cono",-5,"cunt"
"585","cono",-5,"twat"
"586","corazon pesado",-2,"heavyhearted"
"587","correo no deseado",-2,"spam"
"588","cortar",-1,"cut"
"589","corte",-1,"cutting"
"590","cortejar",3,"woo"
"591","cortes",2,"courteous"
"592","Cortes",3,"gracious"
"593","cortesia",2,"courtesy"
"594","cosas interesantes",3,"cool stuff"
"595","costoso",-2,"costly"
"596","creativo",2,"creative"
"597","creciente",1,"growing"
"598","crecimiento",2,"growth"
"599","credulo",-2,"gullible"
"600","crimen",-3,"crime"
"601","criminal",-3,"criminal"
"602","criminales",-3,"criminals"
"603","crisis",-3,"crisis"
"604","critica",-2,"criticizes"
"605","critica",-2,"criticism"
"606","criticado",-2,"criticized"
"607","criticar",-2,"criticize"
"608","criticar",-2,"criticizing"
"609","critico",-2,"critic"
"610","criticos",-2,"critics"
"611","cruel",-3,"cruel"
"612","crueldad",-3,"cruelty"
"613","cubrir",-3,"cover-up"
"614","cuchara",3,"scoop"
"615","cuchillada",-2,"slashing"
"616","cuestionable",-2,"questionable"
"617","cuestionado",-2,"disputed"
"618","cuestionado",-1,"questioned"
"619","cuidado",2,"care"
"620","cuidados",2,"cares"
"621","cuidadosamente",2,"carefully"
"622","cuidadoso",2,"careful"
"623","culo",-4,"ass"
"624","culpa",-3,"guilt"
"625","culpable",-3,"guilty"
"626","culpada",-2,"blamed"
"627","culpando",-2,"blaming"
"628","Cumple",2,"fulfills"
"629","cumplido",2,"fulfilled"
"630","cumplir",2,"fulfill"
"631","curioso",1,"curious"
"632","curioso",-2,"nosey"
"633","da la bienvenida",2,"welcomes"
"634","danar",-3,"damage"
"635","dano",-2,"harm"
"636","dano",-2,"hurting"
"637","danos",-2,"harms"
"638","danos y perjuicios",-3,"damages"
"639","de acuerdo",1,"agree"
"640","de buen tono",3,"classy"
"641","de confianza",2,"trusted"
"642","de miedo",-2,"scary"
"643","de mierda",-3,"shitty"
"644","de poco merito",-2,"undeserving"
"645","debil",-2,"feeble"
"646","debiles",-2,"weak"
"647","debilidad",-2,"weakness"
"648","debilitante",-2,"wasting"
"649","decepcion",-2,"disappointment"
"650","decepciona",-2,"disappoints"
"651","decepcionado",-2,"disappointed"
"652","decepcionante",-2,"disappointing"
"653","decepcionar",-2,"disappoint"
"654","decepciones",-2,"disappointments"
"655","decir ah",2,"ha"
"656","decisivo",1,"decisive"
"657","dedicado",2,"dedicated"
"658","defecto",-3,"defect"
"659","defecto",-2,"failing"
"660","defectos",-3,"defects"
"661","defensor",2,"defender"
"662","defensores",2,"defenders"
"663","deficit",-2,"deficit"
"664","defraudador",-4,"fraudster"
"665","defraudadores",-4,"fraudsters"
"666","degradado",-2,"degraded"
"667","degradar",-2,"degrade"
"668","dejar",-1,"leave"
"669","dejecting",-2,"dejecting"
"670","dejects",-2,"dejects"
"671","delanteros",-2,"strikers"
"672","deleitando",3,"delighting"
"673","deleite",3,"delight"
"674","delicado",-3,"killed"
"675","delicias",3,"delights"
"676","delincuente",-2,"offender"
"677","delito",-3,"felony"
"678","delitos",-3,"felonies"
"679","demanda",-1,"demand"
"680","demanda judicial",-2,"lawsuit"
"681","demandar",-2,"suing"
"682","demandas",-1,"demands"
"683","demandas",-2,"lawsuits"
"684","demostracion",-1,"demonstration"
"685","denuncia",-2,"denounces"
"686","denunciar",-2,"denounce"
"687","deprimente",-2,"depressing"
"688","Deprimido",-2,"depressed"
"689","Derecho",1,"straight"
"690","Deriding",-2,"deriding"
"691","derrotado",-2,"defeated"
"692","desacreditada",-2,"discredited"
"693","desafiante",-1,"defiant"
"694","desagradable",-3,"obnoxious"
"695","desairado",-2,"snubbed"
"696","desaire",-2,"snub"
"697","desaires",-2,"snubs"
"698","desalojo",-1,"eviction"
"699","desanimado",-2,"discouraged"
"700","desanimado",-2,"downhearted"
"701","desaparece",-1,"disappears"
"702","desaparecer",-1,"disappear"
"703","desaparecido",-1,"disappeared"
"704","desaparecido",-2,"missing"
"705","desasosiego",-2,"disquiet"
"706","desastre",-2,"disaster"
"707","desastres",-2,"disasters"
"708","desastroso",-3,"disastrous"
"709","desatiende",-2,"disregards"
"710","descalificado",-2,"disqualified"
"711","descarrila",-2,"derails"
"712","descarrilado",-2,"derailed"
"713","descartado",-1,"discarded"
"714","descarte",-1,"discard"
"715","descarte",-1,"discarding"
"716","descartes",-1,"discards"
"717","desconcertado",-2,"embarrassed"
"718","desconectado",-1,"offline"
"719","desconfiado",-3,"distrustful"
"720","desconfianza",-3,"distrust"
"721","desconsiderado",-2,"inconsiderate"
"722","desconsiderado",-2,"thoughtless"
"723","desconsolado",-2,"disconsolate"
"724","desconsolado",-2,"woebegone"
"725","desconsuelo",-2,"disconsolation"
"726","descontento",-2,"discontented"
"727","descorazonado",-2,"disheartened"
"728","descuento",-1,"discounted"
"729","descuidado",-2,"careless"
"730","descuidado",-2,"neglected"
"731","descuido",-2,"neglecting"
"732","desden",-2,"disdain"
"733","desden",-2,"scorn"
"734","desdenosamente",-2,"contemptuously"
"735","desdenoso",-2,"contemptuous"
"736","desdenoso",-2,"scornful"
"737","deseable",2,"desirable"
"738","deseado",2,"desired"
"739","deseando",1,"wishing"
"740","desempleo",-2,"unemployment"
"741","desenfocado",-2,"unfocused"
"742","deseo",1,"desire"
"743","deseo",1,"wish"
"744","deseos",1,"wishes"
"745","deseoso",2,"desirous"
"746","desesperacion",-3,"despair"
"747","desesperacion",-2,"hopelessness"
"748","desesperaciones",-3,"despairs"
"749","desesperadamente",-3,"desperately"
"750","desesperado",-3,"despairing"
"751","desesperado",-3,"desperate"
"752","desestimacion",-1,"underestimating"
"753","desestructurado",-2,"disorganized"
"754","desfases",-2,"lags"
"755","desgracia",-2,"disgrace"
"756","deshecho",-1,"dumps"
"757","deshonesto",-2,"dishonest"
"758","deshumaniza",-2,"dehumanizes"
"759","deshumanizado",-2,"dehumanized"
"760","deshumanizante",-2,"dehumanizing"
"761","deshumanizar",-2,"dehumanize"
"762","desigual",-1,"unequal"
"763","desilusionado",-2,"disillusioned"
"764","desinformacion",-2,"misinformation"
"765","desmoralizado",-2,"demoralized"
"766","desmotivado",-2,"unmotivated"
"767","desorientado",-2,"disoriented"
"768","despectivo",-2,"disparaging"
"769","despedido",-2,"fired"
"770","despejado",1,"cleared"
"771","desperdicios",-2,"refuse"
"772","despistados",-2,"clueless"
"773","despotricar",-3,"rant"
"774","desprecio",-2,"contempt"
"775","despreocupado",1,"carefree"
"776","despreocupado",-2,"unconcerned"
"777","destellos",3,"sparkles"
"778","desterrar",-1,"banish"
"779","destrozada",-2,"shattered"
"780","destruccion",-3,"destruction"
"781","destructivo",-3,"destructive"
"782","destruido",-3,"destroyed"
"783","destruir",-3,"destroy"
"784","destruye",-3,"destroys"
"785","destruyendo",-3,"destroying"
"786","desventaja",-2,"disadvantage"
"787","desventaja",-2,"downside"
"788","desventurado",-2,"hapless"
"789","detencion",-2,"detention"
"790","detenciones",-2,"arrests"
"791","detener",-2,"detain"
"792","detener",-1,"stop"
"793","detenido",-3,"arrested"
"794","detenido",-2,"detained"
"795","detenido",-1,"stopped"
"796","determinado",2,"determined"
"797","detestado",-3,"loathed"
"798","detestar",-3,"loathe"
"799","deuda",-2,"debt"
"800","devastado",-2,"devastated"
"801","devastador",-2,"devastating"
"802","devastar",-2,"devastate"
"803","devoto",3,"devoted"
"804","diamante",1,"diamond"
"805","difamatorio",-2,"libelous"
"806","dificil",-1,"difficult"
"807","dificil",-1,"hard"
"808","dificil",-2,"uneasy"
"809","difiriendo",-1,"deferring"
"810","digno",2,"worthy"
"811","dilema",-1,"dilemma"
"812","Dios",1,"god"
"813","dipshit",-3,"dipshit"
"814","direccion correcta",3,"right direction"
"815","discordia",-2,"discord"
"816","disculpa",-1,"apologising"
"817","disculpa",-1,"apologizing"
"818","disculpa",-1,"apology"
"819","disculpo",-1,"apologised"
"820","disculpo",-1,"apologized"
"821","disfraces",-1,"disguises"
"822","disfraz",-1,"disguise"
"823","disfrazado",-1,"disguised"
"824","disfrazado",-1,"disguising"
"825","disfruta",2,"enjoys"
"826","disfrutando",2,"enjoying"
"827","disfrutar",2,"enjoy"
"828","disfuncion",-2,"dysfunction"
"829","disgustado",-3,"disgusted"
"830","disgustado",-2,"displeased"
"831","disgusto",-2,"chagrin"
"832","disgusto",-2,"dislike"
"833","disinclined",-2,"disinclined"
"834","disparar",-1,"shoot"
"835","disparates",-2,"nonsense"
"836","disparo",-2,"firing"
"837","disputa",-2,"dispute"
"838","disputando",-2,"disputing"
"839","disputas",-2,"disputes"
"840","disrespected",-2,"disrespected"
"841","disruptivo",-2,"disruptive"
"842","distorsiona",-2,"distorts"
"843","distorsionado",-2,"distorted"
"844","distorsionar",-2,"distort"
"845","distorsionista",-2,"distorting"
"846","distraccion",-2,"distraction"
"847","distrae",-2,"distracts"
"848","distraer",-2,"distract"
"849","distraido",-2,"distracted"
